Rank,Reg.No,GPA,Prov Field,Pref
1,E/22/134,24,Elect,1
1,E/22/420,24,Elect,1
3,E/22/093,24,Mech,1
4,E/22/158,23.7,Elect,1
4,E/22/199,23.7,Elect,1
6,E/22/065,23.7,Chem,1
6,E/22/311,23.7,Elect,1
8,E/22/076,23.7,Elect,1
8,E/22/114,23.7,Elect,1
8,E/22/356,23.7,Elect,1
11,E/22/390,23.7,Elect,1
12,E/22/282,23.4,Mech,1
13,E/22/041,23.4,Elect,1
13,E/22/164,23.4,Elect,1
13,E/22/245,23.4,Elect,1
13,E/22/287,23.4,Elect,1
17,E/22/365,23.3,Elect,1
18,E/22/233,23.3,Comp,1
18,E/22/358,23.3,Mech,1
20,E/22/027,23.1,Comp,1
21,E/22/218,23.1,Elect,1
21,E/22/289,23.1,Elect,1
23,E/22/200,23,Elect,1
24,E/22/258,23,Elect,1
24,E/22/395,23,Mech,1
26,E/22/281,23,Elect,1
26,E/22/300,23,Elect,1
28,E/22/001,22.8,Comp,1
29,E/22/242,22.7,Elect,1
29,E/22/369,22.7,Mech,1
31,E/22/286,22.7,Elect,1
32,E/22/088,22.7,Elect,1
33,E/22/156,22.7,Elect,1
34,E/22/004,22.6,Comp,1
35,E/22/341,22.6,Elect,1
36,E/22/026,22.4,Elect,1
37,E/22/054,22.4,Comp,1
38,E/22/297,22.4,Elect,1
39,E/22/090,22.4,Elect,1
39,E/22/453,22.4,Elect,1
41,E/22/060,22.4,Comp,1
41,E/22/386,22.4,Civil,1
44,E/22/074,22.3,Comp,1
45,E/22/014,22.3,Comp,1
45,E/22/212,22.3,Chem,1
45,E/22/320,22.3,Comp,1
48,E/22/427,22.3,Comp,1
48,E/22/437,22.3,Elect,1
48,E/22/438,22.3,Elect,1
50,E/22/161,22.3,Elect,1
50,E/22/347,22.3,Elect,1
50,E/22/397,22.3,Comp,1
53,E/22/330,22.3,Comp,1
54,E/22/373,22.1,Comp,1
55,E/22/151,22.1,Comp,1
55,E/22/321,22.1,Elect,1
55,E/22/422,22.1,Elect,1
58,E/22/022,22.1,Elect,1
59,E/22/405,22,Comp,1
60,E/22/214,22,Comp,1
61,E/22/130,22,Comp,1
61,E/22/269,22,Comp,1
63,E/22/394,22,Elect,1
64,E/22/131,22,Comp,1
64,E/22/353,22,Comp,1
66,E/22/102,22,Comp,1
66,E/22/249,22,Chem,1
68,E/22/066,22,Elect,1
69,E/22/270,22,Elect,1
70,E/22/232,22,Comp,1
71,E/22/217,21.9,Elect,1
72,E/22/345,21.9,Elect,1
72,E/22/348,21.9,Elect,1
74,E/22/329,21.9,Elect,1
75,E/22/079,21.8,Elect,1
75,E/22/108,21.8,Elect,1
77,E/22/128,21.8,Elect,1
78,E/22/364,21.7,Comp,1
79,E/22/182,21.7,Comp,1
80,E/22/265,21.7,Elect,1
81,E/22/419,21.7,Comp,1
82,E/22/052,21.7,Comp,1
83,E/22/355,21.7,Elect,1
84,E/22/363,21.7,Elect,1
84,E/22/370,21.7,Mech,1
84,E/22/374,21.7,Mech,1
84,E/22/378,21.7,Comp,1
88,E/22/120,21.7,Comp,1
88,E/22/248,21.7,Comp,1
90,E/22/133,21.7,Elect,1
90,E/22/283,21.7,Mech,1
90,E/22/291,21.7,Comp,1
90,E/22/337,21.7,Comp,1
94,E/22/430,21.7,Elect,1
95,E/22/417,21.7,Elect,1
96,E/22/221,21.6,Elect,1
96,E/22/336,21.6,Comp,1
98,E/22/193,21.6,Comp,1
99,E/22/085,21.6,Elect,1
99,E/22/205,21.6,Comp,1
101,E/22/319,21.6,Elect,1
102,E/22/058,21.6,Comp,1
102,E/22/344,21.6,Elect,1
104,E/22/298,21.4,Manufac,1
105,E/22/415,21.4,Elect,1
106,E/22/326,21.4,Elect,1
107,E/22/080,21.4,Elect,1
108,E/22/023,21.4,Elect,1
108,E/22/260,21.4,Comp,1
110,E/22/180,21.4,Comp,1
111,E/22/021,21.4,Elect,1
111,E/22/036,21.4,Comp,1
111,E/22/040,21.4,Mech,1
111,E/22/107,21.4,Elect,1
111,E/22/238,21.4,Elect,1
111,E/22/416,21.4,Elect,1
117,E/22/368,21.4,Elect,1
118,E/22/086,21.3,Elect,1
119,E/22/340,21.3,Mech,1
120,E/22/366,21.3,Comp,1
120,E/22/400,21.3,Comp,1
122,E/22/051,21.3,Comp,1
122,E/22/118,21.3,Chem,1
122,E/22/296,21.3,Comp,1
125,E/22/091,21.3,Elect,1
125,E/22/442,21.3,Elect,1
127,E/22/206,21.3,Mech,1
128,E/22/044,21.3,Comp,1
128,E/22/203,21.3,Comp,1
130,E/22/201,21.3,Elect,1
131,E/22/381,21.2,Comp,1
132,E/22/098,21.1,Mech,1
132,E/22/124,21.1,Comp,1
132,E/22/431,21.1,Elect,1
135,E/22/271,21.1,Comp,1
135,E/22/346,21.1,Chem,1
137,E/22/243,21.1,Elect,1
138,E/22/372,21.1,Comp,1
139,E/22/305,21.1,Chem,1
140,E/22/385,21.1,Comp,1
140,E/22/426,21.1,Elect,1
